0,2,0s
0,2,0s
1,2,0s
1,2,0s
1,2,0s
1,2,0s
0,2,0s
1,2,0s
0,2,0s
1,2,0s
1,2,0s
1,2,0s
1,2,0s
1,2,0s
1,2,0s
1,2,0s
1,2,0s
1,2,0s
1,2,0s
1,2,0s
1,2,0s
1,2,0s
0,2,0s
1,2,0s
1,2,0s
1,2,0s
1,2,0s
1,2,0s
1,2,0s
1,2,0s
1,3,0s
0,3,0s
0,3,0s
0,3,0s
1,3,0s
1,3,0s
1,3,0s
1,3,0s
0,3,0s
1,3,0s
1,3,0s
0,3,0s
1,3,0s
1,3,0s
1,3,0s
1,3,0s
1,3,0s
1,3,0s
1,3,0s
1,3,0s
1,3,0s
1,3,0s
0,3,0s
1,3,0s
1,3,0s
0,3,0s
1,3,0s
0,3,0s
1,3,0s
0,3,0s
1,3,0s
1,3,0s
1,3,0s
1,3,0s
0,3,0s
1,3,0s
0,3,0s
1,3,0s
1,3,0s
1,3,0s
1,3,0s
1,3,0s
1,3,0s
0,3,0s
0,3,0s
1,3,0s
1,3,0s
0,3,0s
0,3,0s
1,3,0s
0,3,0s
1,3,0s
1,3,0s
1,3,0s
1,3,0s
1,3,0s
1,3,0s
1,3,0s
1,3,0s
1,3,0s
0,5,0s
1,5,0s
1,5,0s
1,5,0s
0,5,0s
0,5,0s
1,5,0s
0,5,0s
0,5,0s
0,5,0s
1,5,0s
1,5,0s
1,5,0s
0,5,0s
1,5,0s
1,5,0s
1,5,0s
1,5,0s
1,5,0s
0,5,0s
1,5,0s
0,5,0s
0,5,0s
0,5,0s
1,5,0s
1,5,0s
0,5,0s
1,5,0s
1,5,0s
1,5,0s
1,6,0s
0,6,0s
0,6,0s
1,6,0s
1,6,0s
1,6,0s
1,6,0s
1,6,0s
0,6,0s
1,6,0s
1,6,0s
1,6,0s
1,6,0s
1,6,0s
1,6,0s
0,6,0s
1,6,0s
0,6,0s
0,6,0s
1,6,0s
1,6,0s
1,6,0s
1,6,0s
0,6,0s
0,6,0s
1,6,0s
1,6,0s
1,6,0s
1,6,0s
1,6,0s
1,6,0s
1,6,0s
0,6,0s
1,6,0s
1,6,0s
1,6,0s
1,6,0s
1,6,0s
1,6,0s
1,6,0s
0,6,0s
1,6,0s
1,6,0s
1,6,0s
1,6,0s
1,6,0s
1,6,0s
1,6,0s
1,6,0s
1,6,0s
1,6,0s
1,6,0s
0,6,0s
1,6,0s
0,6,0s
1,6,0s
1,6,0s
1,6,0s
1,6,0s
1,6,0s
1,7,0s
1,7,0s
1,7,0s
0,7,0s
1,7,0s
1,7,0s
1,7,0s
1,7,0s
1,7,0s
0,7,0s
1,8,0s
1,8,0s
1,8,0s
1,8,0s
1,8,0s
0,8,0s
1,8,0s
1,8,0s
1,8,0s
1,8,0s
1,9,0s
0,9,0s
0,9,0s
1,9,0s
1,9,0s
1,9,0s
1,9,0s
1,9,0s
1,9,0s
1,9,0s
0,9,0s
1,9,0s
0,9,0s
1,9,0s
1,9,0s
1,9,0s
1,9,0s
0,9,0s
0,9,0s
1,9,0s
0,10,0s
0,10,0s
1,10,0s
1,10,0s
1,10,0s
0,10,0s
0,10,0s
0,10,0s
1,10,0s
0,10,0s
0,10,0s
1,10,0s
1,10,0s
