0,3,0s
0,3,0s
1,3,0s
0,3,0s
1,3,0s
1,3,0s
1,3,0s
1,3,0s
1,3,0s
1,3,0s
0,6,0s
1,6,0s
1,6,0s
1,6,0s
0,6,0s
0,6,0s
1,6,0s
0,6,0s
1,6,0s
0,6,0s
0,7,0s
1,7,0s
1,7,0s
1,7,0s
0,7,0s
1,7,0s
1,7,0s
0,7,0s
1,7,0s
0,7,0s
1,9,0s
1,9,0s
1,9,0s
1,9,0s
0,9,0s
1,9,0s
0,9,0s
1,9,0s
1,9,0s
0,9,0s
0,11,49.7400516s
1,11,49.7308873s
1,11,49.7336677s
1,11,49.7326765s
1,11,49.7390163s
0,11,49.7317171s
1,11,49.7358785s
1,11,49.7395365s
0,11,49.7348813s
1,11,49.7384965s
0,13,45.4989343s
0,13,45.500496s
0,13,45.5020607s
1,13,45.5025878s
1,13,45.4962588s
0,13,45.5025878s
1,13,45.4978368s
1,13,45.4949122s
1,13,45.5015384s
0,13,45.4994416s
1,13,45.5020607s
0,13,45.4994416s
1,13,45.4949122s
0,13,45.4989343s
1,13,45.5025878s
1,13,45.4962588s
0,13,45.5025878s
1,13,45.4978368s
1,13,45.500496s
1,13,45.5015384s
1,15,59.4983015s
1,15,59.4940891s
0,15,59.4973065s
0,15,59.5031712s
1,15,59.4961938s
1,15,59.5042497s
0,15,59.4952204s
1,15,59.5037131s
1,15,59.5005784s
0,15,59.4993846s
0,16,1m4.1600026s
1,16,1m4.1673117s
0,16,1m4.1610923s
1,16,1m4.1580141s
1,16,1m4.1651943s
0,16,1m4.1668018s
1,16,1m4.1619095s
1,16,1m4.1657507s
0,16,1m4.168351s
0,16,1m4.1585645s
1,18,1m4.5288338s
1,18,1m4.5355123s
0,18,1m4.530953s
1,18,1m4.5314714s
0,18,1m4.5299133s
1,18,1m4.5349889s
1,18,1m4.5334233s
1,18,1m4.5324984s
1,18,1m4.5344602s
0,18,1m4.5355123s
1,19,1m0.8401687s
1,19,1m0.8374536s
0,19,1m0.8413286s
0,19,1m0.8365326s
0,19,1m0.8325097s
1,19,1m0.8413286s
0,19,1m0.8341675s
1,19,1m0.8350802s
1,19,1m0.8333442s
0,19,1m0.8408071s
0,20,1m9.7974493s
0,20,1m9.7912467s
0,20,1m9.7881972s
0,20,1m9.7923689s
1,20,1m9.7990215s
1,20,1m9.8010725s
1,20,1m9.8007092s
1,20,1m9.7995433s
