Timestamp,ActiveCount,LogLength,BlockHeight,ProposedTime,Latency
2024-10-05T12:27:08Z,1,2,0,,
2024-10-05T12:27:08Z,1,1,0,,
2024-10-05T12:27:08Z,1,2,0,,
2024-10-05T12:27:08Z,0,2,0,,
2024-10-05T12:27:08Z,1,2,0,,
2024-10-05T12:27:08Z,0,2,0,,
2024-10-05T12:27:08Z,1,1,0,,
2024-10-05T12:27:08Z,0,1,0,,
2024-10-05T12:27:08Z,0,1,0,,
2024-10-05T12:27:08Z,1,1,0,,
2024-10-05T12:27:09Z,0,2,0,,
2024-10-05T12:27:09Z,1,2,0,,
2024-10-05T12:27:09Z,1,2,0,,
2024-10-05T12:27:09Z,1,2,0,,
2024-10-05T12:27:09Z,1,2,0,,
2024-10-05T12:27:09Z,1,2,0,,
2024-10-05T12:27:09Z,0,2,0,,
2024-10-05T12:27:09Z,0,2,0,,
2024-10-05T12:27:09Z,0,2,0,,
2024-10-05T12:27:09Z,1,2,0,,
2024-10-05T12:27:10Z,0,2,0,,
2024-10-05T12:27:10Z,0,2,0,,
2024-10-05T12:27:10Z,0,2,0,,
2024-10-05T12:27:10Z,0,2,0,,
2024-10-05T12:27:10Z,0,2,0,,
2024-10-05T12:27:10Z,0,2,0,,
2024-10-05T12:27:10Z,1,2,0,,
2024-10-05T12:27:10Z,0,2,0,,
2024-10-05T12:27:10Z,0,2,0,,
2024-10-05T12:27:10Z,0,2,0,,
2024-10-05T12:27:11Z,0,3,0,,
2024-10-05T12:27:11Z,0,3,0,,
2024-10-05T12:27:11Z,0,3,0,,
2024-10-05T12:27:11Z,0,3,0,,
2024-10-05T12:27:11Z,1,3,0,,
2024-10-05T12:27:11Z,0,3,0,,
2024-10-05T12:27:11Z,1,3,0,,
2024-10-05T12:27:11Z,1,3,0,,
2024-10-05T12:27:11Z,1,3,0,,
2024-10-05T12:27:11Z,0,3,0,,
2024-10-05T12:27:12Z,0,3,0,,
2024-10-05T12:27:12Z,0,3,0,,
2024-10-05T12:27:12Z,0,3,0,,
2024-10-05T12:27:12Z,0,3,0,,
2024-10-05T12:27:12Z,1,3,0,,
2024-10-05T12:27:12Z,0,3,0,,
2024-10-05T12:27:12Z,1,3,0,,
2024-10-05T12:27:12Z,1,3,0,,
2024-10-05T12:27:12Z,0,3,0,,
2024-10-05T12:27:12Z,1,3,0,,
2024-10-05T12:27:13Z,1,3,0,,
2024-10-05T12:27:13Z,0,3,0,,
2024-10-05T12:27:13Z,1,3,0,,
2024-10-05T12:27:13Z,0,3,0,,
2024-10-05T12:27:13Z,0,3,0,,
2024-10-05T12:27:13Z,0,3,0,,
2024-10-05T12:27:13Z,1,3,0,,
2024-10-05T12:27:13Z,1,3,0,,
2024-10-05T12:27:13Z,1,3,0,,
2024-10-05T12:27:13Z,1,3,0,,
